financial_year,cost_per_dollar_of_tax_collected,yoy_return,3_year_moving_avg
2000,0.87,,
2001,0.9,0.034482758620689724,
2002,0.99,0.09999999999999987,0.9199999999999999
2003,1.01,0.02020202020202011,0.9666666666666667
2004,1.02,0.00990099009900991,1.0066666666666666
2005,0.93,-0.08823529411764708,0.9866666666666668
2006,0.83,-0.10752688172043023,0.9266666666666667
2007,0.77,-0.07228915662650592,0.8433333333333334
2008,0.8,0.038961038961039085,0.7999999999999999
2009,0.88,0.09999999999999987,0.8166666666666668
2010,0.87,-0.011363636363636354,0.85
2011,0.78,-0.10344827586206895,0.8433333333333334
2012,0.79,0.012820512820512775,0.8133333333333335
2013,0.86,0.08860759493670889,0.81
2014,0.82,-0.04651162790697683,0.8233333333333333
2015,0.83,0.012195121951219523,0.8366666666666666
2016,0.84,0.012048192771084265,0.8300000000000001
2017,0.84,0.0,0.8366666666666666
2018,0.8,-0.04761904761904756,0.8266666666666667
2019,0.78,-0.025000000000000022,0.8066666666666666
